,superficie,time_ctrl,PRECIPITACION,time_ext,SOL,personal,RACHA,lng,lat,Año,TMAX,medios,PRES_RANGE
236,1.3,1.15,0,1.15,3.8,8,10.8,-8.989438,42.991753,2001,18.3,1,1.10000000000002
237,5.0,3.4,0,3.4,9.9,4,12.8,-8.950453,42.732381,2001,22.2,6,1.79999999999995
238,1.3,1.2,0,1.2,9.9,31,12.8,-8.687411,42.826981,2001,22.2,4,1.79999999999995
239,1.0,1.25,0,1.25,9.9,10,12.8,-8.786446,42.671189,2001,22.2,3,1.79999999999995
240,2.0,3.1,0,3.1,9.9,14,12.8,-8.976258,42.687163,2001,22.2,2,1.79999999999995
241,2.0,2.5,0,2.5,9.9,11,12.8,-8.990898,42.572775,2001,22.2,2,1.79999999999995
242,1.0,2.0,0,2.0,10.2,6,11.1,-9.252776,42.932283,2001,22.8,2,1.69999999999993
243,1.5,1.45,0,1.45,10.2,29,11.1,-8.687411,42.826981,2001,22.8,3,1.69999999999993
244,2.4,2.15,0,2.15,10.2,23,11.1,-8.687411,42.826981,2001,22.8,3,1.69999999999993
245,1.0,1.2,0,1.2,10.2,12,11.1,-8.682622,42.851886,2001,22.8,1,1.69999999999993
246,1.5,1.5,0,1.5,10.2,11,11.1,-8.801318,42.825461,2001,22.8,1,1.69999999999993
247,9.0,2.2,0,2.2,10.2,15,11.1,-8.727053,42.792961,2001,22.8,2,1.69999999999993
248,3.8,1.3,0,1.3,10.1,5,12.2,-8.990898,42.572775,2001,20.0,1,3.60000000000002
249,2.0,3.3,0,3.3,10.2,6,11.1,-8.786446,42.671189,2001,22.8,1,1.69999999999993
250,9.0,3.1,0,3.1,10.2,21,11.1,-8.664463,42.837542,2001,22.8,3,1.69999999999993
251,1.2,3.3,0,3.3,10.1,10,12.2,-8.926821,43.068876,2001,20.0,2,3.60000000000002
252,6.0,4.15,0,4.15,10.1,11,12.2,-8.641404,42.813059,2001,20.0,2,3.60000000000002
